,implementation,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
29,c++ nbabel.org,cpp,14,1612778551.5120473,1612779203.4670224,651.9549707559927,3.789239354259554
13,c++ nbabel.org,cpp,6,1612775216.9975333,1612775868.4461374,651.4486016870069,3.7862962773753392
27,fortran nbabel.org,fortran,13,1612778175.0798602,1612778490.9749255,315.8950618950039,1.8360194400554828
11,fortran nbabel.org,fortran,5,1612774840.6937199,1612775156.4934773,315.7997527080006,1.8354654917946134
25,julia low-level,julia,12,1612777912.2976184,1612778142.2730842,229.9754624650086,1.3366445720568063
9,julia low-level,julia,4,1612774573.857891,1612774807.835837,233.97794254099426,1.359907459370907
1,julia optimized,julia,0,1612773619.5708556,1612773771.2704108,151.6995519940101,0.881695727808764
17,julia optimized,julia,8,1612776956.622679,1612777108.308915,151.68623323399515,0.8816183176012155
7,numba,py,3,1612774312.2890425,1612774517.1107366,204.82168034400092,1.1904478170709996
23,numba,py,11,1612777649.956817,1612777855.5716705,205.61484938499052,1.1950578092936417
5,pypy map-improvements,py,2,1612774002.2923992,1612774258.992489,256.70008722899365,1.491971250164783
21,pypy map-improvements,py,10,1612777339.0839295,1612777596.8171341,257.7332002710027,1.4979758252838902
3,pythran,py,1,1612773800.979212,1612773973.1295333,172.15031670399185,1.00055798968232
19,pythran,py,9,1612777137.9272065,1612777309.981522,172.05431217300065,1.0
15,pythran high-level jit,py,7,1612775968.6208246,1612776930.9987473,962.3779193179944,5.593454224793408
31,pythran high-level jit,py,15,1612779303.261622,1612780230.431897,927.170270423987,5.3888232077073255
16,sleep(t_sleep_before),julia,8,1612776950.617057,1612776954.6211305,4.004075841992744,0.02327216209476136
14,sleep(t_sleep_before),py,7,1612775962.6160862,1612775966.6187313,4.002645371001563,0.023263848028272038
18,sleep(t_sleep_before),py,9,1612777131.9209807,1612777135.9251049,4.004114057999686,0.023272384210711025
12,sleep(t_sleep_before),cpp,6,1612775210.991353,1612775214.995434,4.004083672989509,0.02327220760944022
20,sleep(t_sleep_before),py,10,1612777333.0777168,1612777337.0818055,4.004081014994881,0.023272192160861255
10,sleep(t_sleep_before),fortran,5,1612774834.6875374,1612774838.6916292,4.00409433299501,0.023272269566652255
22,sleep(t_sleep_before),py,11,1612777643.9506137,1612777647.9547124,4.004097180993995,0.023272286119559
8,sleep(t_sleep_before),julia,4,1612774567.8517172,1612774571.8557906,4.004074183001649,0.023272152452509014
24,sleep(t_sleep_before),julia,12,1612777906.2914698,1612777910.295543,4.004075478995219,0.023272159984976837
6,sleep(t_sleep_before),py,3,1612774306.2828212,1612774310.286914,4.004096008997294,0.023272279307775645
26,sleep(t_sleep_before),fortran,13,1612778169.0736926,1612778173.0777807,4.0040895429992815,0.023272241726630883
4,sleep(t_sleep_before),py,2,1612773996.28618,1612774000.2903018,4.004124555998715,0.023272445226322293
28,sleep(t_sleep_before),cpp,14,1612778545.5058658,1612778549.509961,4.004095722004422,0.023272277639739148
2,sleep(t_sleep_before),py,1,1612773794.9730272,1612773798.9771361,4.00411179799994,0.023272371075325357
30,sleep(t_sleep_before),py,15,1612779297.255407,1612779301.2594895,4.004073044998222,0.02327214583829858
0,sleep(t_sleep_before),julia,0,1612773613.564659,1612773617.568734,4.004078298996319,0.023272176375156568
