,implementation,nb_threads,language,index,timestamp_start,timestamp_end,elapsed_time,ratio_elapsed
0,sleep(t_sleep_before),1,None,0,1611756813.514942,1611756817.5190127,4.004072803999861,0.03876126908071073
26,sleep(t_sleep_before),1,None,13,1611757522.0530393,1611757526.0571215,4.0040710039997975,0.038761251655881006
24,sleep(t_sleep_before),1,None,12,1611757492.231196,1611757496.235275,4.004068714999903,0.03876122949730768
22,sleep(t_sleep_before),1,None,11,1611757457.2987537,1611757461.302828,4.0040753239995865,0.038761293475468826
20,sleep(t_sleep_before),1,None,10,1611757413.554805,1611757417.5588713,4.004066892000083,0.03876121184982972
18,sleep(t_sleep_before),1,None,9,1611757343.0001984,1611757347.00432,4.004112102999898,0.038761649513132816
17,nbabel5_threads.jl,1,py,8,1611757222.849258,1611757326.396495,103.54723359299987,1.0023849166408956
16,sleep(t_sleep_before),1,None,8,1611757216.8430617,1611757220.8471398,4.004092170999684,0.03876145656218975
30,sleep(t_sleep_before),1,None,15,1611757574.9206557,1611757578.9247687,4.004117208000025,0.03876169893188549
28,sleep(t_sleep_before),1,None,14,1611757548.0873587,1611757552.0874698,4.000113438999961,0.03872294060376681
12,sleep(t_sleep_before),1,None,6,1611757144.0757308,1611757148.079807,4.004078576999746,0.038761324966008745
14,sleep(t_sleep_before),1,None,7,1611757170.9510787,1611757174.9551816,4.004095452000001,0.03876148832378411
10,sleep(t_sleep_before),1,None,5,1611757118.2958133,1611757122.2998884,4.0040763819997665,0.038761303717397895
1,nbabel5_threads.jl,1,py,0,1611756819.521125,1611756922.821999,103.3008696300003,1.0
2,sleep(t_sleep_before),1,None,1,1611756939.4156053,1611756943.4196956,4.0040927370000645,0.03876146204133415
6,sleep(t_sleep_before),1,None,3,1611757053.5781507,1611757057.5822349,4.00408712799981,0.038761407743628094
4,sleep(t_sleep_before),1,None,2,1611757009.896349,1611757013.9004285,4.004069361999882,0.0387612357605655
8,sleep(t_sleep_before),1,None,4,1611757088.462326,1611757092.4663863,4.004061118000209,0.03876115595485134
19,nbabel5_threads.jl,2,py,9,1611757349.006414,1611757401.917757,52.91133854200007,0.5122061288691584
3,nbabel5_threads.jl,2,py,1,1611756945.421791,1611756998.2970262,52.87523176500008,0.5118565986364574
5,nbabel5_threads.jl,4,py,2,1611757015.9025152,1611757043.7704144,27.867895567999767,0.26977406548285693
21,nbabel5_threads.jl,4,py,10,1611757419.5609696,1611757447.374957,27.81398460499986,0.2692521825287927
23,nbabel5_threads.jl,6,py,11,1611757463.3049173,1611757483.1529799,19.84805952400029,0.19213835851616182
7,nbabel5_threads.jl,6,py,3,1611757059.5843475,1611757079.3813272,19.79697653600033,0.1916438516627062
9,nbabel5_threads.jl,8,py,4,1611757094.4684484,1611757110.04766,15.579209022999748,0.1508139193677735
25,nbabel5_threads.jl,8,py,12,1611757498.2354496,1611757513.8123765,15.576922521999677,0.150791784984895
11,nbabel5_threads.jl,12,py,5,1611757124.301953,1611757135.8161905,11.514233861999855,0.11146308741873291
27,nbabel5_threads.jl,12,py,13,1611757528.0592053,1611757539.8220325,11.762823316000322,0.11386954783761279
13,nbabel5_threads.jl,16,py,6,1611757150.0818915,1611757163.1111948,13.029299117999926,0.1261296169593523
29,nbabel5_threads.jl,16,py,14,1611757554.0895696,1611757567.1756153,13.086041527999896,0.12667890962458547
15,nbabel5_threads.jl,24,py,7,1611757176.9572744,1611757187.8621116,10.904833287999736,0.10556380916306235
31,nbabel5_threads.jl,24,py,15,1611757580.9268694,1611757591.963277,11.036402823999651,0.106837462874509
